rattlesnake|crovir-protein-6564	human|NP_000952.1
rattlesnake|crovir-protein-3049	human|NP_002764.1
rattlesnake|crovir-protein-12334	human|NP_065099.3
rattlesnake|crovir-protein-17263	human|XP_005245370.1
rattlesnake|crovir-protein-17260	human|XP_011539620.1
rattlesnake|crovir-protein-6404	human|NP_001257328.1
rattlesnake|crovir-protein-15725	human|NP_004857.4
rattlesnake|crovir-protein-15724	human|NP_003655.3
rattlesnake|crovir-protein-15727	human|NP_037523.2
rattlesnake|crovir-protein-15726	human|NP_005770.1
rattlesnake|crovir-protein-15721	human|NP_060738.2
rattlesnake|crovir-protein-15720	human|NP_115485.1
rattlesnake|crovir-protein-15723	human|NP_001704.2
rattlesnake|crovir-protein-15722	human|NP_001284667.1
rattlesnake|crovir-protein-15729	human|NP_000037.2
rattlesnake|crovir-protein-15728	human|NP_037523.2
rattlesnake|crovir-protein-2393	human|NP_000142.2
rattlesnake|crovir-protein-2640	human|NP_001138837.1
rattlesnake|crovir-protein-2643	human|NP_006352.2
rattlesnake|crovir-protein-2642	human|XP_016879760.1
rattlesnake|crovir-protein-2397	human|XP_011523721.1
rattlesnake|crovir-protein-2396	human|NP_000142.2
rattlesnake|crovir-protein-2395	human|NP_033720.2
rattlesnake|crovir-protein-2394	human|NP_000979.1
rattlesnake|crovir-protein-2649	human|NP_006537.3
rattlesnake|crovir-protein-2648	human|NP_006537.3
rattlesnake|crovir-protein-2399	human|NP_001248359.1
rattlesnake|crovir-protein-2398	human|NP_001248363.1
rattlesnake|crovir-protein-14230	human|NP_008868.3
rattlesnake|crovir-protein-14232	human|NP_055410.1
rattlesnake|crovir-protein-14233	human|NP_085133.1
rattlesnake|crovir-protein-7256	human|NP_733775.1
rattlesnake|crovir-protein-14235	human|NP_055418.2
rattlesnake|crovir-protein-14236	human|XP_005257847.1
rattlesnake|crovir-protein-14237	human|NP_001290194.1
rattlesnake|crovir-protein-14238	human|NP_056168.1
rattlesnake|crovir-protein-11035	human|NP_060835.1
rattlesnake|crovir-protein-11034	human|NP_005911.1
rattlesnake|crovir-protein-11037	human|NP_776175.2
rattlesnake|crovir-protein-11036	human|NP_001191379.1
rattlesnake|crovir-protein-11031	human|NP_073752.5
rattlesnake|crovir-protein-11030	human|XP_011520261.1
rattlesnake|crovir-protein-11033	human|NP_001275517.1
rattlesnake|crovir-protein-11032	human|NP_079107.6
rattlesnake|crovir-protein-17071	human|XP_005266191.1
rattlesnake|crovir-protein-11039	human|NP_005911.1
rattlesnake|crovir-protein-11038	human|NP_001317255.1
rattlesnake|crovir-protein-3001	human|NP_071913.1
rattlesnake|crovir-protein-15935	human|NP_005857.1
rattlesnake|crovir-protein-9125	human|NP_612638.3
rattlesnake|crovir-protein-2680	human|NP_005316.1
rattlesnake|crovir-protein-1220	human|NP_870998.2
rattlesnake|crovir-protein-7250	human|NP_055080.2
rattlesnake|crovir-protein-15187	human|NP_060695.2
rattlesnake|crovir-protein-11748	human|XP_005250752.1
rattlesnake|crovir-protein-15189	human|XP_011542890.1
rattlesnake|crovir-protein-9124	human|NP_001186548.1
rattlesnake|crovir-protein-11746	human|XP_005250752.1
rattlesnake|crovir-protein-11745	human|XP_005250752.1
rattlesnake|crovir-protein-7253	human|NP_057190.2
rattlesnake|crovir-protein-5297	human|NP_001940.1
rattlesnake|crovir-protein-16564	human|NP_001307752.1
rattlesnake|crovir-protein-16565	human|XP_011537758.1
rattlesnake|crovir-protein-16562	human|NP_001243805.1
rattlesnake|crovir-protein-16563	human|NP_001372.1
rattlesnake|crovir-protein-16560	human|NP_001372.1
rattlesnake|crovir-protein-16561	human|XP_011531337.1
rattlesnake|crovir-protein-4741	human|NP_660306.1
rattlesnake|crovir-protein-1790	human|NP_001295197.1
rattlesnake|crovir-protein-16568	human|NP_653208.2
rattlesnake|crovir-protein-16569	human|NP_001018049.1
rattlesnake|crovir-protein-1791	human|XP_006716104.1
rattlesnake|crovir-protein-8435	human|NP_079423.1
rattlesnake|crovir-protein-1796	human|NP_006615.2
rattlesnake|crovir-protein-11740	human|NP_003932.3
rattlesnake|crovir-protein-1473	human|XP_011539410.2
rattlesnake|crovir-protein-1973	human|XP_024302508.1
rattlesnake|crovir-protein-2289	human|NP_057501.2
rattlesnake|crovir-protein-8132	human|NP_073613.2
rattlesnake|crovir-protein-2029	human|NP_620166.3
rattlesnake|crovir-protein-1794	human|XP_024302682.1
rattlesnake|crovir-protein-8420	human|NP_149055.1
rattlesnake|crovir-protein-2824	human|NP_115751.3
rattlesnake|crovir-protein-2025	human|NP_001264044.1
rattlesnake|crovir-protein-2024	human|XP_011513391.1
rattlesnake|crovir-protein-2027	human|NP_003103.2
rattlesnake|crovir-protein-1971	human|NP_004402.1
rattlesnake|crovir-protein-2021	human|XP_016867165.1
rattlesnake|crovir-protein-2020	human|XP_006715816.1
rattlesnake|crovir-protein-2023	human|NP_115970.2
rattlesnake|crovir-protein-2022	human|NP_612455.1
rattlesnake|crovir-protein-13868	human|NP_001287850.1
rattlesnake|crovir-protein-13869	human|NP_006781.1
rattlesnake|crovir-protein-2534	human|NP_001317135.1
rattlesnake|crovir-protein-13860	human|XP_016865434.1
rattlesnake|crovir-protein-13861	human|XP_006714996.1
rattlesnake|crovir-protein-13862	human|NP_112556.2
rattlesnake|crovir-protein-13863	human|NP_059111.2
rattlesnake|crovir-protein-13864	human|NP_059111.2
rattlesnake|crovir-protein-13865	human|NP_004589.1
rattlesnake|crovir-protein-13866	human|XP_006714710.1
rattlesnake|crovir-protein-2820	human|NP_001189368.1
rattlesnake|crovir-protein-17042	human|NP_065962.1
rattlesnake|crovir-protein-3168	human|NP_065140.3
rattlesnake|crovir-protein-5957	human|NP_116241.2
rattlesnake|crovir-protein-15678	human|NP_008840.1
rattlesnake|crovir-protein-17040	human|XP_016876547.1
rattlesnake|crovir-protein-1617	human|XP_006721026.1
rattlesnake|crovir-protein-12885	human|NP_001338586.1
rattlesnake|crovir-protein-1615	human|NP_006604.1
rattlesnake|crovir-protein-12561	human|XP_005245715.1
rattlesnake|crovir-protein-1613	human|XP_011539226.1
rattlesnake|crovir-protein-5559	human|NP_001017961.1
rattlesnake|crovir-protein-1611	human|NP_001337261.1
rattlesnake|crovir-protein-10808	human|XP_011511393.1
rattlesnake|crovir-protein-5554	human|NP_000689.1
rattlesnake|crovir-protein-10806	human|NP_001862.2
rattlesnake|crovir-protein-10805	human|NP_001861.2
rattlesnake|crovir-protein-5557	human|NP_000687.3
rattlesnake|crovir-protein-10803	human|NP_004608.1
rattlesnake|crovir-protein-12887	human|NP_001230903.1
rattlesnake|crovir-protein-10801	human|NP_000757.2
rattlesnake|crovir-protein-10800	human|NP_001278796.1
rattlesnake|crovir-protein-15674	human|NP_000782.1
rattlesnake|crovir-protein-12564	human|NP_055439.1
rattlesnake|crovir-protein-2829	human|NP_149059.1
rattlesnake|crovir-protein-12565	human|NP_001092086.1
rattlesnake|crovir-protein-12880	human|NP_036596.3
rattlesnake|crovir-protein-12883	human|NP_001308896.1
rattlesnake|crovir-protein-3692	human|NP_620305.2
rattlesnake|crovir-protein-12882	human|NP_001092805.1
rattlesnake|crovir-protein-8054	human|NP_005722.1
rattlesnake|crovir-protein-12569	human|NP_001311404.1
rattlesnake|crovir-protein-4399	human|NP_001156907.1
rattlesnake|crovir-protein-13523	human|NP_060868.2
rattlesnake|crovir-protein-4395	human|XP_011530122.1
rattlesnake|crovir-protein-4394	human|NP_789845.1
rattlesnake|crovir-protein-4397	human|NP_001135888.1
rattlesnake|crovir-protein-4396	human|NP_001026890.2
rattlesnake|crovir-protein-4391	human|NP_001120680.1
rattlesnake|crovir-protein-4390	human|NP_849155.2
rattlesnake|crovir-protein-4393	human|NP_001135943.1
rattlesnake|crovir-protein-4392	human|NP_001229658.1
rattlesnake|crovir-protein-8051	human|NP_078789.2
rattlesnake|crovir-protein-16156	human|NP_001311033.1
rattlesnake|crovir-protein-16155	human|NP_000524.3
rattlesnake|crovir-protein-16154	human|XP_011529288.3
rattlesnake|crovir-protein-16153	human|NP_612453.1
rattlesnake|crovir-protein-16152	human|NP_002628.2
rattlesnake|crovir-protein-16151	human|NP_858058.1
rattlesnake|crovir-protein-16150	human|XP_005262352.1
rattlesnake|crovir-protein-413	human|NP_937818.1
rattlesnake|crovir-protein-411	human|NP_001295071.1
rattlesnake|crovir-protein-410	human|XP_005255730.1
rattlesnake|crovir-protein-417	human|NP_065876.3
rattlesnake|crovir-protein-416	human|NP_001243470.1
rattlesnake|crovir-protein-16159	human|NP_057454.1
rattlesnake|crovir-protein-16158	human|NP_002489.1
rattlesnake|crovir-protein-4179	human|NP_001269041.1
rattlesnake|crovir-protein-4178	human|NP_002736.3
rattlesnake|crovir-protein-12090	human|NP_000958.1
rattlesnake|crovir-protein-12091	human|NP_001291493.1
rattlesnake|crovir-protein-12096	human|XP_011528136.1
rattlesnake|crovir-protein-12097	human|NP_001091974.1
rattlesnake|crovir-protein-12094	human|NP_001347164.1
rattlesnake|crovir-protein-12095	human|XP_006724354.2
rattlesnake|crovir-protein-8708	human|NP_001245286.1
rattlesnake|crovir-protein-4170	human|NP_001336611.1
rattlesnake|crovir-protein-12098	human|XP_024307971.1
rattlesnake|crovir-protein-12099	human|NP_055108.2
rattlesnake|crovir-protein-4175	human|XP_006724222.1
rattlesnake|crovir-protein-4174	human|NP_003767.2
rattlesnake|crovir-protein-4177	human|NP_071327.2
rattlesnake|crovir-protein-4176	human|NP_001243284.1
rattlesnake|crovir-protein-10692	human|XP_016861874.1
rattlesnake|crovir-protein-9874	human|XP_005264438.1
rattlesnake|crovir-protein-8709	human|XP_011508641.1
rattlesnake|crovir-protein-8733	human|XP_011538391.1
rattlesnake|crovir-protein-8732	human|XP_011538391.1
rattlesnake|crovir-protein-8731	human|NP_000115.1
rattlesnake|crovir-protein-8730	human|NP_000115.1
rattlesnake|crovir-protein-8737	human|NP_001269947.1
rattlesnake|crovir-protein-8736	human|NP_062539.1
rattlesnake|crovir-protein-8735	human|XP_011541872.1
rattlesnake|crovir-protein-8734	human|NP_005107.4
rattlesnake|crovir-protein-8739	human|NP_001810.2
rattlesnake|crovir-protein-8738	human|XP_011539376.1
rattlesnake|crovir-protein-10693	human|NP_056377.1
rattlesnake|crovir-protein-909	human|XP_016855481.1
rattlesnake|crovir-protein-16125	human|XP_005262425.1
rattlesnake|crovir-protein-11315	human|XP_016877462.1
rattlesnake|crovir-protein-5262	human|XP_024306953.1
rattlesnake|crovir-protein-6821	human|NP_006523.1
rattlesnake|crovir-protein-6820	human|NP_112600.1
rattlesnake|crovir-protein-6823	human|NP_076955.1
rattlesnake|crovir-protein-6822	human|NP_066010.1
rattlesnake|crovir-protein-13571	human|NP_149061.1
rattlesnake|crovir-protein-366	human|NP_001185982.1
rattlesnake|crovir-protein-6826	human|NP_001333102.1
rattlesnake|crovir-protein-6829	human|NP_005472.2
rattlesnake|crovir-protein-6828	human|NP_079164.1
rattlesnake|crovir-protein-11312	human|XP_011519666.1
rattlesnake|crovir-protein-11313	human|NP_689662.2
rattlesnake|crovir-protein-14457	human|NP_005267.2
rattlesnake|crovir-protein-14796	human|XP_016885065.1
rattlesnake|crovir-protein-12372	human|XP_011520209.1
rattlesnake|crovir-protein-8342	human|NP_001276692.1
rattlesnake|crovir-protein-8343	human|NP_004516.2
rattlesnake|crovir-protein-8340	human|NP_001032852.2
rattlesnake|crovir-protein-8341	human|NP_001032852.2
rattlesnake|crovir-protein-8346	human|NP_001254479.2
rattlesnake|crovir-protein-8347	human|XP_005246288.2
rattlesnake|crovir-protein-8344	human|XP_011510379.1
rattlesnake|crovir-protein-8345	human|NP_001254479.2
rattlesnake|crovir-protein-14793	human|NP_001308154.1
rattlesnake|crovir-protein-8348	human|NP_001316168.1
rattlesnake|crovir-protein-8349	human|XP_005246288.2
rattlesnake|crovir-protein-904	human|NP_002370.1
rattlesnake|crovir-protein-7156	human|XP_016876963.1
rattlesnake|crovir-protein-7157	human|XP_011534658.1
rattlesnake|crovir-protein-7154	human|XP_011535320.1
rattlesnake|crovir-protein-7155	human|XP_016876963.1
rattlesnake|crovir-protein-7152	human|NP_786924.2
rattlesnake|crovir-protein-7153	human|NP_057487.2
rattlesnake|crovir-protein-7150	human|NP_055851.1
rattlesnake|crovir-protein-7151	human|NP_001002860.2
rattlesnake|crovir-protein-13433	human|NP_004619.3
rattlesnake|crovir-protein-8702	human|XP_011532929.1
rattlesnake|crovir-protein-7158	human|NP_079040.2
rattlesnake|crovir-protein-7159	human|NP_001122067.1
rattlesnake|crovir-protein-10249	human|NP_631894.2
rattlesnake|crovir-protein-10248	human|NP_055246.2
rattlesnake|crovir-protein-10241	human|NP_004719.2
rattlesnake|crovir-protein-10240	human|NP_001123633.1
rattlesnake|crovir-protein-10243	human|NP_001231879.1
rattlesnake|crovir-protein-10242	human|NP_001229475.1
rattlesnake|crovir-protein-10245	human|NP_001136120.1
rattlesnake|crovir-protein-10244	human|NP_775826.2
rattlesnake|crovir-protein-10247	human|NP_071429.1
rattlesnake|crovir-protein-10246	human|NP_066952.1
rattlesnake|crovir-protein-13059	human|XP_005271661.1
rattlesnake|crovir-protein-13058	human|XP_005271661.1
rattlesnake|crovir-protein-14009	human|NP_001258875.1
rattlesnake|crovir-protein-421	human|NP_653171.1
rattlesnake|crovir-protein-13051	human|NP_000308.1
rattlesnake|crovir-protein-13050	human|NP_001276736.1
rattlesnake|crovir-protein-14001	human|NP_001265840.1
rattlesnake|crovir-protein-14000	human|XP_016865198.1
rattlesnake|crovir-protein-14007	human|XP_016865149.1
rattlesnake|crovir-protein-13054	human|NP_001553.1
rattlesnake|crovir-protein-13057	human|NP_001229536.1
rattlesnake|crovir-protein-14004	human|NP_036320.2
rattlesnake|crovir-protein-6214	human|NP_851853.1
rattlesnake|crovir-protein-14952	human|NP_612362.2
rattlesnake|crovir-protein-16863	human|XP_006720511.1
rattlesnake|crovir-protein-8910	human|NP_001393.1
rattlesnake|crovir-protein-3259	human|NP_001245335.1
rattlesnake|crovir-protein-3706	human|NP_065757.1
rattlesnake|crovir-protein-3705	human|NP_478067.2
rattlesnake|crovir-protein-3704	human|NP_848932.1
rattlesnake|crovir-protein-3703	human|NP_003886.3
rattlesnake|crovir-protein-3702	human|NP_067077.1
rattlesnake|crovir-protein-3251	human|XP_011533209.1
rattlesnake|crovir-protein-3250	human|NP_001336584.1
rattlesnake|crovir-protein-3253	human|NP_058634.4
rattlesnake|crovir-protein-3252	human|XP_011533514.1
rattlesnake|crovir-protein-3255	human|NP_055647.2
rattlesnake|crovir-protein-3254	human|NP_987093.1
rattlesnake|crovir-protein-3257	human|NP_001340828.1
rattlesnake|crovir-protein-3708	human|XP_016883889.1
rattlesnake|crovir-protein-16711	human|XP_011515323.1
rattlesnake|crovir-protein-16710	human|XP_016869616.1
rattlesnake|crovir-protein-16713	human|XP_011515323.1
rattlesnake|crovir-protein-16712	human|NP_001335098.1
rattlesnake|crovir-protein-16715	human|NP_036552.1
rattlesnake|crovir-protein-16714	human|NP_004088.2
rattlesnake|crovir-protein-16717	human|XP_016867305.1
rattlesnake|crovir-protein-16716	human|XP_005258449.1
rattlesnake|crovir-protein-16719	human|XP_016880808.1
rattlesnake|crovir-protein-16718	human|NP_000535.3
rattlesnake|crovir-protein-3510	human|XP_011543847.1
rattlesnake|crovir-protein-2252	human|NP_619646.1
rattlesnake|crovir-protein-2253	human|NP_064577.1
rattlesnake|crovir-protein-2250	human|NP_005393.2
rattlesnake|crovir-protein-2251	human|XP_011513827.1
rattlesnake|crovir-protein-8706	human|XP_005246247.1
rattlesnake|crovir-protein-2257	human|NP_002778.1
rattlesnake|crovir-protein-2254	human|NP_114109.1
rattlesnake|crovir-protein-2255	human|XP_016867371.1
rattlesnake|crovir-protein-2258	human|NP_001093328.1
rattlesnake|crovir-protein-2259	human|NP_001345274.1
rattlesnake|crovir-protein-13579	human|NP_598328.1
rattlesnake|crovir-protein-13436	human|NP_872434.2
rattlesnake|crovir-protein-14553	human|XP_005263881.1
rattlesnake|crovir-protein-2896	human|NP_001263274.1
rattlesnake|crovir-protein-10658	human|NP_001957.2
rattlesnake|crovir-protein-10659	human|NP_001020437.1
rattlesnake|crovir-protein-10652	human|NP_060603.2
rattlesnake|crovir-protein-10653	human|NP_001171485.1
rattlesnake|crovir-protein-10650	human|NP_002709.2
rattlesnake|crovir-protein-10651	human|NP_005853.2
rattlesnake|crovir-protein-10656	human|XP_016861795.1
rattlesnake|crovir-protein-15666	human|XP_016864534.1
rattlesnake|crovir-protein-10654	human|NP_001229243.1
rattlesnake|crovir-protein-10655	human|NP_001009921.1
rattlesnake|crovir-protein-15062	human|NP_001116697.1
rattlesnake|crovir-protein-15063	human|NP_055182.3
rattlesnake|crovir-protein-15060	human|NP_000091.1
rattlesnake|crovir-protein-15061	human|NP_057382.2
rattlesnake|crovir-protein-15066	human|NP_002255.3
rattlesnake|crovir-protein-15067	human|XP_011540445.2
rattlesnake|crovir-protein-15064	human|NP_612482.2
rattlesnake|crovir-protein-15065	human|NP_001017928.1
rattlesnake|crovir-protein-15068	human|NP_079422.1
rattlesnake|crovir-protein-15069	human|NP_001009899.3
rattlesnake|crovir-protein-5701	human|NP_005657.1
rattlesnake|crovir-protein-5700	human|XP_006711357.1
rattlesnake|crovir-protein-5703	human|NP_002104.2
rattlesnake|crovir-protein-5702	human|NP_000177.2
rattlesnake|crovir-protein-5705	human|NP_002104.2
rattlesnake|crovir-protein-5704	human|NP_000177.2
rattlesnake|crovir-protein-5707	human|NP_919290.2
rattlesnake|crovir-protein-5706	human|XP_016856341.1
rattlesnake|crovir-protein-5709	human|NP_060606.3
rattlesnake|crovir-protein-5708	human|XP_016856341.1
rattlesnake|crovir-protein-90	human|NP_001264929.1
rattlesnake|crovir-protein-91	human|NP_001311154.1
rattlesnake|crovir-protein-92	human|NP_001311154.1
rattlesnake|crovir-protein-93	human|NP_004858.1
rattlesnake|crovir-protein-12874	human|NP_001273748.1
rattlesnake|crovir-protein-12875	human|NP_067636.1
rattlesnake|crovir-protein-12876	human|NP_001713.2
rattlesnake|crovir-protein-12877	human|NP_075447.1
rattlesnake|crovir-protein-12878	human|NP_001129193.1
rattlesnake|crovir-protein-99	human|NP_653233.4
rattlesnake|crovir-protein-11529	human|XP_011525773.1
rattlesnake|crovir-protein-11528	human|NP_001129628.1
rattlesnake|crovir-protein-11839	human|NP_037386.1
rattlesnake|crovir-protein-11838	human|NP_009166.2
rattlesnake|crovir-protein-11523	human|NP_065907.2
rattlesnake|crovir-protein-11834	human|NP_000697.1
rattlesnake|crovir-protein-11837	human|NP_009166.2
rattlesnake|crovir-protein-11520	human|XP_011525856.1
rattlesnake|crovir-protein-11831	human|XP_011537291.1
rattlesnake|crovir-protein-11830	human|XP_011537291.1
rattlesnake|crovir-protein-11833	human|NP_001239007.1
rattlesnake|crovir-protein-11832	human|XP_024304730.1
rattlesnake|crovir-protein-8508	human|NP_001305855.1
rattlesnake|crovir-protein-8509	human|XP_011509306.1
rattlesnake|crovir-protein-11926	human|NP_115606.2
rattlesnake|crovir-protein-7749	human|NP_699178.1
rattlesnake|crovir-protein-1203	human|XP_016855704.1
rattlesnake|crovir-protein-8500	human|XP_016860102.1
rattlesnake|crovir-protein-8501	human|NP_000454.1
rattlesnake|crovir-protein-8502	human|XP_011511643.1
rattlesnake|crovir-protein-8503	human|NP_001245238.1
rattlesnake|crovir-protein-8504	human|XP_011511643.1
rattlesnake|crovir-protein-8505	human|NP_005846.1
rattlesnake|crovir-protein-8506	human|NP_001073973.2
rattlesnake|crovir-protein-6151	human|NP_006612.2
rattlesnake|crovir-protein-1938	human|XP_016871518.1
rattlesnake|crovir-protein-1939	human|XP_016871518.1
rattlesnake|crovir-protein-8625	human|XP_016883731.1
rattlesnake|crovir-protein-1280	human|NP_004152.1
rattlesnake|crovir-protein-1933	human|NP_005171.4
rattlesnake|crovir-protein-1282	human|NP_058637.1
rattlesnake|crovir-protein-1283	human|NP_001077430.1
rattlesnake|crovir-protein-1936	human|NP_835455.1
rattlesnake|crovir-protein-1285	human|NP_001104490.1
rattlesnake|crovir-protein-1934	human|NP_005019.2
rattlesnake|crovir-protein-1287	human|NP_004482.4
rattlesnake|crovir-protein-12269	human|NP_775864.3
rattlesnake|crovir-protein-5087	human|NP_001335270.1
rattlesnake|crovir-protein-4654	human|XP_006714038.1
rattlesnake|crovir-protein-8624	human|NP_478060.2
rattlesnake|crovir-protein-16213	human|NP_004351.1
rattlesnake|crovir-protein-5526	human|NP_002479.1
rattlesnake|crovir-protein-16214	human|XP_005256351.1
rattlesnake|crovir-protein-16215	human|XP_005256351.1
rattlesnake|crovir-protein-1095	human|NP_077002.2
rattlesnake|crovir-protein-16217	human|NP_115827.1
rattlesnake|crovir-protein-541	human|NP_076422.1
rattlesnake|crovir-protein-17019	human|NP_114130.3
rattlesnake|crovir-protein-540	human|XP_011520658.1
rattlesnake|crovir-protein-6152	human|NP_149079.2
rattlesnake|crovir-protein-12263	human|NP_115878.2
rattlesnake|crovir-protein-14829	human|XP_006724910.1
rattlesnake|crovir-protein-14828	human|XP_024308183.1
rattlesnake|crovir-protein-542	human|NP_076947.1
rattlesnake|crovir-protein-5969	human|NP_001106882.1
rattlesnake|crovir-protein-1429	human|XP_005252046.1
rattlesnake|crovir-protein-1424	human|NP_036230.1
rattlesnake|crovir-protein-5964	human|XP_011538764.1
rattlesnake|crovir-protein-14823	human|NP_940866.2
rattlesnake|crovir-protein-5966	human|NP_689590.1
rattlesnake|crovir-protein-1420	human|NP_001138578.1
rattlesnake|crovir-protein-1421	human|NP_001025459.1
rattlesnake|crovir-protein-5963	human|XP_011538764.1
rattlesnake|crovir-protein-14826	human|XP_016884680.1
rattlesnake|crovir-protein-7709	human|XP_011514041.1
rattlesnake|crovir-protein-7708	human|NP_036271.1
rattlesnake|crovir-protein-12267	human|NP_001116319.1
rattlesnake|crovir-protein-7703	human|NP_061882.2
rattlesnake|crovir-protein-7702	human|NP_002449.2
rattlesnake|crovir-protein-7701	human|NP_002449.2
rattlesnake|crovir-protein-7700	human|NP_002449.2
rattlesnake|crovir-protein-7707	human|NP_004170.1
rattlesnake|crovir-protein-7706	human|NP_000209.2
rattlesnake|crovir-protein-7705	human|NP_000209.2
rattlesnake|crovir-protein-7704	human|NP_005379.3
rattlesnake|crovir-protein-8812	human|NP_001308765.1
rattlesnake|crovir-protein-1097	human|NP_877429.2
rattlesnake|crovir-protein-8621	human|NP_001341141.1
rattlesnake|crovir-protein-7311	human|NP_003125.3
rattlesnake|crovir-protein-9639	human|XP_006711325.1
rattlesnake|crovir-protein-9631	human|NP_055824.1
rattlesnake|crovir-protein-9630	human|NP_001305965.1
rattlesnake|crovir-protein-9633	human|XP_016856640.1
rattlesnake|crovir-protein-9632	human|NP_579875.1
rattlesnake|crovir-protein-9635	human|NP_758872.1
rattlesnake|crovir-protein-9634	human|NP_758872.1
rattlesnake|crovir-protein-9637	human|XP_011508259.1
rattlesnake|crovir-protein-9636	human|XP_016857247.1
rattlesnake|crovir-protein-9758	human|NP_001335441.1
rattlesnake|crovir-protein-9756	human|NP_002345.2
rattlesnake|crovir-protein-9757	human|XP_005264389.2
rattlesnake|crovir-protein-9754	human|NP_055403.2
rattlesnake|crovir-protein-9755	human|NP_115890.2
rattlesnake|crovir-protein-9752	human|NP_001093859.1
rattlesnake|crovir-protein-9753	human|NP_065392.1
rattlesnake|crovir-protein-9750	human|NP_057416.1
rattlesnake|crovir-protein-9751	human|XP_011529874.1
rattlesnake|crovir-protein-7839	human|NP_037534.3
rattlesnake|crovir-protein-7838	human|NP_004216.2
rattlesnake|crovir-protein-2307	human|XP_005258372.2
rattlesnake|crovir-protein-10037	human|NP_653212.1
rattlesnake|crovir-protein-7830	human|NP_001316473.1
rattlesnake|crovir-protein-7833	human|NP_068743.2
rattlesnake|crovir-protein-7832	human|NP_005112.2
rattlesnake|crovir-protein-7835	human|NP_004022.2
rattlesnake|crovir-protein-7834	human|NP_001139200.1
rattlesnake|crovir-protein-7837	human|NP_001273510.1
rattlesnake|crovir-protein-8810	human|NP_620154.2
rattlesnake|crovir-protein-10014	human|NP_004568.2
rattlesnake|crovir-protein-10015	human|NP_000259.1
rattlesnake|crovir-protein-10016	human|NP_000172.2
rattlesnake|crovir-protein-10017	human|NP_000256.4
rattlesnake|crovir-protein-10010	human|XP_016867813.1
rattlesnake|crovir-protein-10011	human|NP_000039.2
rattlesnake|crovir-protein-10012	human|NP_000493.1
rattlesnake|crovir-protein-10013	human|NP_060734.2
rattlesnake|crovir-protein-606	human|NP_000822.2
rattlesnake|crovir-protein-17296	human|NP_005312.1
rattlesnake|crovir-protein-604	human|NP_001310479.1
rattlesnake|crovir-protein-605	human|NP_003453.2
rattlesnake|crovir-protein-602	human|NP_001092904.1
rattlesnake|crovir-protein-17292	human|NP_003508.1
rattlesnake|crovir-protein-600	human|NP_001139192.1
rattlesnake|crovir-protein-601	human|NP_001287940.1
rattlesnake|crovir-protein-13604	human|XP_024309466.1
rattlesnake|crovir-protein-13605	human|NP_057413.2
rattlesnake|crovir-protein-13606	human|NP_940965.1
rattlesnake|crovir-protein-13607	human|NP_002209.2
rattlesnake|crovir-protein-13600	human|NP_005005.1
rattlesnake|crovir-protein-13601	human|NP_937792.2
rattlesnake|crovir-protein-13602	human|NP_003271.1
rattlesnake|crovir-protein-13603	human|NP_009115.2
rattlesnake|crovir-protein-4434	human|NP_149129.2
rattlesnake|crovir-protein-13608	human|NP_995325.3
rattlesnake|crovir-protein-13609	human|XP_005265162.1
rattlesnake|crovir-protein-8769	human|NP_056993.2
rattlesnake|crovir-protein-1125	human|NP_000482.3
rattlesnake|crovir-protein-8622	human|XP_005264405.1
rattlesnake|crovir-protein-5159	human|XP_016881532.1
rattlesnake|crovir-protein-4437	human|NP_115493.1
rattlesnake|crovir-protein-956	human|XP_006715612.1
rattlesnake|crovir-protein-957	human|NP_006006.3
rattlesnake|crovir-protein-954	human|NP_006006.3
rattlesnake|crovir-protein-5409	human|NP_057363.3
rattlesnake|crovir-protein-952	human|NP_060119.3
rattlesnake|crovir-protein-953	human|NP_060103.2
rattlesnake|crovir-protein-950	human|XP_016855583.1
rattlesnake|crovir-protein-951	human|NP_060536.3
rattlesnake|crovir-protein-4723	human|XP_005265804.1
rattlesnake|crovir-protein-958	human|NP_115659.1
rattlesnake|crovir-protein-14533	human|NP_115740.5
rattlesnake|crovir-protein-14244	human|NP_001316801.1
rattlesnake|crovir-protein-14247	human|XP_016880033.1
rattlesnake|crovir-protein-5150	human|NP_001007560.1
rattlesnake|crovir-protein-14246	human|NP_085133.1
rattlesnake|crovir-protein-4618	human|NP_001139512.1
rattlesnake|crovir-protein-4619	human|NP_006520.2
rattlesnake|crovir-protein-5403	human|XP_005266358.1
rattlesnake|crovir-protein-4614	human|NP_005268.1
rattlesnake|crovir-protein-13217	human|NP_001108089.1
rattlesnake|crovir-protein-4616	human|NP_000851.2
rattlesnake|crovir-protein-4617	human|NP_006520.2
rattlesnake|crovir-protein-4610	human|NP_068747.1
rattlesnake|crovir-protein-5152	human|NP_001280654.1
rattlesnake|crovir-protein-4612	human|NP_543150.1
rattlesnake|crovir-protein-4613	human|XP_024309653.1
rattlesnake|crovir-protein-15527	human|NP_004551.2
rattlesnake|crovir-protein-15526	human|NP_001033791.1
rattlesnake|crovir-protein-15525	human|NP_001276928.1
rattlesnake|crovir-protein-5401	human|NP_689899.1
rattlesnake|crovir-protein-15523	human|NP_001167638.1
rattlesnake|crovir-protein-14535	human|NP_001091990.1
rattlesnake|crovir-protein-6610	human|NP_065724.1
rattlesnake|crovir-protein-6611	human|NP_001001433.1
rattlesnake|crovir-protein-1129	human|NP_848018.1
