"Crovir_ID","Crovir_ProtID","HumanID"
"crovir-transcript-8961","crovir-protein-8961","NP_060404.4"
"crovir-transcript-8962","crovir-protein-8962","NP_060404.4"
"crovir-transcript-8959","crovir-protein-8959","NP_001188292.1"
"crovir-transcript-8958","crovir-protein-8958","NP_001116241.1"
"crovir-transcript-8957","crovir-protein-8957","NP_113657.1"
"crovir-transcript-8960","crovir-protein-8960","NP_073563.1"
"crovir-transcript-8922","crovir-protein-8922","NP_003309.2"
"crovir-transcript-8923","crovir-protein-8923","NP_000047.1"
"crovir-transcript-8920","crovir-protein-8920","NP_060103.2"
"crovir-transcript-8921","crovir-protein-8921","XP_006715516.1"
"crovir-transcript-8930","crovir-protein-8930","XP_011534540.1"
"crovir-transcript-8928","crovir-protein-8928","XP_016866048.1"
"crovir-transcript-8929","crovir-protein-8929","NP_001186846.1"
"crovir-transcript-8927","crovir-protein-8927","NP_219479.2"
"crovir-transcript-8954","crovir-protein-8954","NP_002386.1"
"crovir-transcript-8955","crovir-protein-8955","XP_016872625.1"
"crovir-transcript-8953","crovir-protein-8953","NP_001229721.1"
"crovir-transcript-8931","crovir-protein-8931","NP_057314.2"
"crovir-transcript-8933","crovir-protein-8933","NP_055710.2"
"crovir-transcript-8932","crovir-protein-8932","NP_055710.2"
"crovir-transcript-8937","crovir-protein-8937","NP_002517.1"
"crovir-transcript-8941","crovir-protein-8941","NP_001337461.1"
"crovir-transcript-8940","crovir-protein-8940","NP_006363.4"
"crovir-transcript-8971","crovir-protein-8971","NP_055836.1"
"crovir-transcript-8976","crovir-protein-8976","NP_001035958.1"
"crovir-transcript-8975","crovir-protein-8975","NP_001010868.2"
"crovir-transcript-8974","crovir-protein-8974","NP_001026913.1"
"crovir-transcript-8973","crovir-protein-8973","NP_006407.1"
"crovir-transcript-8979","crovir-protein-8979","NP_001337434.1"
"crovir-transcript-8972","crovir-protein-8972","NP_862820.1"
"crovir-transcript-8977","crovir-protein-8977","NP_060534.1"
"crovir-transcript-8994","crovir-protein-8994","XP_016866890.1"
"crovir-transcript-8989","crovir-protein-8989","NP_006804.1"
"crovir-transcript-8995","crovir-protein-8995","NP_542781.3"
"crovir-transcript-8990","crovir-protein-8990","NP_001010853.1"
"crovir-transcript-8993","crovir-protein-8993","NP_002034.3"
"crovir-transcript-8992","crovir-protein-8992","NP_057105.2"
"crovir-transcript-8991","crovir-protein-8991","NP_067067.1"
"crovir-transcript-9005","crovir-protein-9005","XP_005248736.1"
"crovir-transcript-9007","crovir-protein-9007","NP_055426.1"
"crovir-transcript-9004","crovir-protein-9004","NP_001131139.1"
"crovir-transcript-9006","crovir-protein-9006","XP_024302278.1"
"crovir-transcript-8943","crovir-protein-8943","NP_663304.1"
"crovir-transcript-8963","crovir-protein-8963","NP_004431.1"
"crovir-transcript-8964","crovir-protein-8964","NP_078917.2"
"crovir-transcript-8968","crovir-protein-8968","NP_056138.1"
"crovir-transcript-8969","crovir-protein-8969","NP_001164278.1"
"crovir-transcript-8987","crovir-protein-8987","NP_054884.1"
"crovir-transcript-8985","crovir-protein-8985","NP_001310181.1"
"crovir-transcript-8986","crovir-protein-8986","NP_001310181.1"
"crovir-transcript-8988","crovir-protein-8988","XP_011533972.1"
"crovir-transcript-8965","crovir-protein-8965","NP_001265645.1"
"crovir-transcript-9013","crovir-protein-9013","XP_006715563.1"
"crovir-transcript-9014","crovir-protein-9014","XP_005266969.3"
"crovir-transcript-9010","crovir-protein-9010","NP_001106678.1"
"crovir-transcript-9015","crovir-protein-9015","NP_005181.2"
"crovir-transcript-8967","crovir-protein-8967","NP_005059.2"
"crovir-transcript-8966","crovir-protein-8966","XP_011533696.1"
"crovir-transcript-8982","crovir-protein-8982","XP_011533696.1"
"crovir-transcript-8983","crovir-protein-8983","XP_011533696.1"
"crovir-transcript-9001","crovir-protein-9001","NP_065822.2"
"crovir-transcript-8997","crovir-protein-8997","NP_071756.2"
"crovir-transcript-9020","crovir-protein-9020","NP_689735.1"
"crovir-transcript-9019","crovir-protein-9019","XP_016859942.1"
"crovir-transcript-9021","crovir-protein-9021","XP_011508832.1"
"crovir-transcript-8984","crovir-protein-8984","NP_002717.3"
"crovir-transcript-9008","crovir-protein-9008","XP_011534364.1"
"crovir-transcript-9009","crovir-protein-9009","NP_001273035.1"
"crovir-transcript-9035","crovir-protein-9035","XP_005266896.1"
"crovir-transcript-9037","crovir-protein-9037","XP_016866864.1"
"crovir-transcript-9034","crovir-protein-9034","NP_060762.3"
"crovir-transcript-9036","crovir-protein-9036","XP_016866409.1"
"crovir-transcript-9038","crovir-protein-9038","NP_001073919.1"
"crovir-transcript-9039","crovir-protein-9039","XP_011534258.1"
"crovir-transcript-9026","crovir-protein-9026","NP_009145.1"
"crovir-transcript-9028","crovir-protein-9028","NP_054747.2"
"crovir-transcript-9027","crovir-protein-9027","NP_003786.1"
"crovir-transcript-9025","crovir-protein-9025","NP_660358.2"
"crovir-transcript-9017","crovir-protein-9017","NP_001446.1"
"crovir-transcript-9016","crovir-protein-9016","NP_115507.4"
"crovir-transcript-9018","crovir-protein-9018","NP_055269.1"
"crovir-transcript-9058","crovir-protein-9058","XP_005266992.3"
"crovir-transcript-9059","crovir-protein-9059",NA
"crovir-transcript-9062","crovir-protein-9062","NP_055612.2"
"crovir-transcript-9063","crovir-protein-9063","XP_011533852.1"
"crovir-transcript-9049","crovir-protein-9049","NP_055660.1"
"crovir-transcript-9050","crovir-protein-9050","NP_001020105.1"
"crovir-transcript-9048","crovir-protein-9048","NP_056975.1"
"crovir-transcript-9046","crovir-protein-9046","NP_003640.2"
"crovir-transcript-9045","crovir-protein-9045","NP_149116.2"
"crovir-transcript-9044","crovir-protein-9044","XP_024302144.1"
"crovir-transcript-9047","crovir-protein-9047","NP_001296122.1"
"crovir-transcript-9042","crovir-protein-9042","NP_115570.1"
"crovir-transcript-9040","crovir-protein-9040","NP_001625.2"
"crovir-transcript-9041","crovir-protein-9041","NP_612417.1"
"crovir-transcript-9043","crovir-protein-9043","NP_115570.1"
"crovir-transcript-9052","crovir-protein-9052","NP_061063.2"
"crovir-transcript-9051","crovir-protein-9051","NP_699200.2"
"crovir-transcript-9054","crovir-protein-9054","XP_011534330.1"
"crovir-transcript-9053","crovir-protein-9053","NP_671733.2"
"crovir-transcript-9055","crovir-protein-9055","NP_002028.1"
"crovir-transcript-9056","crovir-protein-9056","NP_002028.1"
"crovir-transcript-9029","crovir-protein-9029","NP_057346.1"
"crovir-transcript-9031","crovir-protein-9031","NP_001098676.2"
"crovir-transcript-9030","crovir-protein-9030","NP_001098676.2"
"crovir-transcript-9022","crovir-protein-9022","NP_002347.5"
"crovir-transcript-9023","crovir-protein-9023","NP_001518.3"
"crovir-transcript-9033","crovir-protein-9033","NP_002022.1"
"crovir-transcript-9032","crovir-protein-9032","NP_689942.2"
"crovir-transcript-9109","crovir-protein-9109","NP_001309868.1"
"crovir-transcript-9107","crovir-protein-9107","XP_011534147.1"
"crovir-transcript-9108","crovir-protein-9108","NP_057036.2"
"crovir-transcript-9156","crovir-protein-9156","NP_009059.1"
"crovir-transcript-9158","crovir-protein-9158","NP_009059.1"
"crovir-transcript-9155","crovir-protein-9155","NP_009059.1"
"crovir-transcript-9150","crovir-protein-9150","NP_037510.1"
"crovir-transcript-9157","crovir-protein-9157","NP_009059.1"
"crovir-transcript-9152","crovir-protein-9152","NP_001288268.1"
"crovir-transcript-9153","crovir-protein-9153","NP_002558.1"
"crovir-transcript-9148","crovir-protein-9148","NP_061959.2"
"crovir-transcript-9147","crovir-protein-9147","NP_001265486.1"
"crovir-transcript-9154","crovir-protein-9154","NP_031396.1"
"crovir-transcript-9099","crovir-protein-9099","NP_001191147.1"
"crovir-transcript-9098","crovir-protein-9098","NP_296373.1"
"crovir-transcript-9100","crovir-protein-9100","XP_016875021.1"
"crovir-transcript-9106","crovir-protein-9106","XP_016874665.1"
"crovir-transcript-9105","crovir-protein-9105","NP_001103373.1"
"crovir-transcript-9097","crovir-protein-9097","XP_011536382.1"
"crovir-transcript-9101","crovir-protein-9101","XP_011536382.1"
"crovir-transcript-9102","crovir-protein-9102","XP_011536382.1"
"crovir-transcript-9103","crovir-protein-9103","NP_775813.2"
"crovir-transcript-9104","crovir-protein-9104","NP_775813.2"
"crovir-transcript-9094","crovir-protein-9094","NP_001140170.1"
"crovir-transcript-9066","crovir-protein-9066","NP_057653.3"
"crovir-transcript-9067","crovir-protein-9067","NP_659499.2"
"crovir-transcript-9065","crovir-protein-9065","XP_011534107.1"
"crovir-transcript-9071","crovir-protein-9071","XP_011536382.1"
"crovir-transcript-9074","crovir-protein-9074","XP_005266998.1"
"crovir-transcript-9076","crovir-protein-9076","NP_065132.1"
"crovir-transcript-9073","crovir-protein-9073","NP_612468.1"
"crovir-transcript-9084","crovir-protein-9084","NP_001171506.1"
"crovir-transcript-9080","crovir-protein-9080","NP_054753.1"
"crovir-transcript-9082","crovir-protein-9082","NP_060166.2"
"crovir-transcript-9083","crovir-protein-9083","NP_078857.5"
"crovir-transcript-9057","crovir-protein-9057","XP_005267043.1"
"crovir-transcript-9086","crovir-protein-9086","XP_011533871.1"
"crovir-transcript-9085","crovir-protein-9085","NP_000156.1"
"crovir-transcript-9077","crovir-protein-9077","NP_004497.1"
"crovir-transcript-9079","crovir-protein-9079","NP_065806.1"
"crovir-transcript-9078","crovir-protein-9078","NP_001305968.1"
"crovir-transcript-9126","crovir-protein-9126","XP_011533796.1"
"crovir-transcript-9129","crovir-protein-9129",NA
"crovir-transcript-9127","crovir-protein-9127","NP_001305832.1"
"crovir-transcript-9130","crovir-protein-9130","NP_057147.2"
"crovir-transcript-9128","crovir-protein-9128","NP_036391.1"
"crovir-transcript-9124","crovir-protein-9124","NP_001186548.1"
"crovir-transcript-9125","crovir-protein-9125","NP_612638.3"
"crovir-transcript-9123","crovir-protein-9123","NP_001026882.2"
"crovir-transcript-9122","crovir-protein-9122","NP_001273453.1"
"crovir-transcript-9120","crovir-protein-9120","NP_116173.2"
"crovir-transcript-9121","crovir-protein-9121","NP_001132982.1"
"crovir-transcript-9119","crovir-protein-9119","NP_055517.3"
"crovir-transcript-9131","crovir-protein-9131","NP_001278910.1"
"crovir-transcript-9133","crovir-protein-9133","NP_001091868.1"
"crovir-transcript-9132","crovir-protein-9132","NP_001091868.1"
"crovir-transcript-9136","crovir-protein-9136","NP_036469.2"
"crovir-transcript-9185","crovir-protein-9185","XP_016866340.1"
"crovir-transcript-9186","crovir-protein-9186","XP_005267269.2"
"crovir-transcript-9137","crovir-protein-9137","XP_006715639.1"
"crovir-transcript-9140","crovir-protein-9140","XP_005245423.1"
"crovir-transcript-9139","crovir-protein-9139","NP_002607.2"
"crovir-transcript-9138","crovir-protein-9138","NP_001245205.1"
"crovir-transcript-9161","crovir-protein-9161","NP_001182526.1"
"crovir-transcript-9163","crovir-protein-9163","XP_024302117.1"
"crovir-transcript-9162","crovir-protein-9162","XP_016866997.1"
"crovir-transcript-9164","crovir-protein-9164","XP_016866997.1"
"crovir-transcript-9144","crovir-protein-9144",NA
"crovir-transcript-9145","crovir-protein-9145","XP_005267280.1"
"crovir-transcript-9233","crovir-protein-9233","NP_005012.2"
"crovir-transcript-9232","crovir-protein-9232","NP_006199.2"
"crovir-transcript-9234","crovir-protein-9234","NP_006199.2"
"crovir-transcript-9236","crovir-protein-9236","NP_001892.1"
"crovir-transcript-9214","crovir-protein-9214","NP_037534.3"
"crovir-transcript-9216","crovir-protein-9216","NP_037534.3"
"crovir-transcript-9215","crovir-protein-9215","NP_037534.3"
"crovir-transcript-9213","crovir-protein-9213","XP_011543498.1"
"crovir-transcript-9210","crovir-protein-9210","NP_002023.2"
"crovir-transcript-9212","crovir-protein-9212","XP_011543297.1"
"crovir-transcript-9205","crovir-protein-9205","XP_011543297.1"
"crovir-transcript-9211","crovir-protein-9211","NP_001092257.1"
"crovir-transcript-9178","crovir-protein-9178","NP_068751.4"
"crovir-transcript-9183","crovir-protein-9183","XP_005252892.1"
"crovir-transcript-9180","crovir-protein-9180","NP_787128.2"
"crovir-transcript-9182","crovir-protein-9182","NP_001994.2"
"crovir-transcript-9181","crovir-protein-9181","NP_056344.2"
"crovir-transcript-9184","crovir-protein-9184","NP_001313507.1"
"crovir-transcript-9172","crovir-protein-9172","NP_004657.2"
"crovir-transcript-9173","crovir-protein-9173","NP_004657.2"
"crovir-transcript-9176","crovir-protein-9176","NP_439896.1"
"crovir-transcript-9174","crovir-protein-9174","NP_439896.1"
"crovir-transcript-9171","crovir-protein-9171","NP_001007.2"
"crovir-transcript-9165","crovir-protein-9165","NP_001240605.1"
"crovir-transcript-9142","crovir-protein-9142","NP_660159.1"
"crovir-transcript-9143","crovir-protein-9143","NP_001137148.1"
"crovir-transcript-9159","crovir-protein-9159","NP_072090.1"
"crovir-transcript-9160","crovir-protein-9160","NP_006611.1"
"crovir-transcript-9191","crovir-protein-9191","NP_001123645.1"
"crovir-transcript-9194","crovir-protein-9194","NP_001128302.1"
"crovir-transcript-9192","crovir-protein-9192","NP_689794.1"
"crovir-transcript-9193","crovir-protein-9193","XP_016884772.1"
"crovir-transcript-9187","crovir-protein-9187","NP_061818.1"
"crovir-transcript-9189","crovir-protein-9189","NP_001092756.1"
"crovir-transcript-9190","crovir-protein-9190","NP_055554.1"
"crovir-transcript-9188","crovir-protein-9188",NA
"crovir-transcript-9219","crovir-protein-9219","NP_001185538.1"
"crovir-transcript-9218","crovir-protein-9218","XP_016866359.1"
"crovir-transcript-9220","crovir-protein-9220","NP_000279.1"
"crovir-transcript-9221","crovir-protein-9221","NP_000279.1"
"crovir-transcript-9169","crovir-protein-9169","XP_016866443.1"
"crovir-transcript-9168","crovir-protein-9168","XP_011518015.1"
"crovir-transcript-9170","crovir-protein-9170","NP_000407.1"
"crovir-transcript-9196","crovir-protein-9196","NP_001257436.1"
"crovir-transcript-9199","crovir-protein-9199","NP_071404.2"
"crovir-transcript-9200","crovir-protein-9200","NP_071404.2"
"crovir-transcript-9198","crovir-protein-9198","NP_065073.3"
"crovir-transcript-9197","crovir-protein-9197","NP_065073.3"
"crovir-transcript-9222","crovir-protein-9222","NP_001313309.1"
"crovir-transcript-9226","crovir-protein-9226","XP_011534268.1"
"crovir-transcript-9223","crovir-protein-9223","NP_056254.1"
"crovir-transcript-9224","crovir-protein-9224","XP_006715535.1"
"crovir-transcript-9225","crovir-protein-9225","NP_001273540.1"
"crovir-transcript-9201","crovir-protein-9201","NP_067066.1"
"crovir-transcript-9202","crovir-protein-9202","NP_057301.1"
"crovir-transcript-9203","crovir-protein-9203","NP_694967.3"
"crovir-transcript-9244","crovir-protein-9244","NP_057569.2"
"crovir-transcript-9245","crovir-protein-9245","XP_006715579.1"
"crovir-transcript-9247","crovir-protein-9247","NP_006725.3"
"crovir-transcript-9228","crovir-protein-9228","XP_011534183.1"
"crovir-transcript-9229","crovir-protein-9229","XP_011533741.1"
"crovir-transcript-9227","crovir-protein-9227","NP_003621.1"
"crovir-transcript-9230","crovir-protein-9230","NP_114409.2"
"crovir-transcript-9259","crovir-protein-9259","NP_001093634.1"
"crovir-transcript-9258","crovir-protein-9258","NP_116249.2"
"crovir-transcript-9262","crovir-protein-9262","NP_001013645.1"
"crovir-transcript-9261","crovir-protein-9261","XP_011534515.1"
"crovir-transcript-9260","crovir-protein-9260","XP_011534403.1"
"crovir-transcript-9263","crovir-protein-9263","XP_011534403.1"
"crovir-transcript-9231","crovir-protein-9231","XP_011534403.1"
"crovir-transcript-9243","crovir-protein-9243","NP_005661.1"
"crovir-transcript-9242","crovir-protein-9242","NP_001335021.1"
"crovir-transcript-9241","crovir-protein-9241","XP_016866180.1"
"crovir-transcript-9255","crovir-protein-9255","NP_006825.1"
"crovir-transcript-9257","crovir-protein-9257","XP_006715629.1"
"crovir-transcript-9238","crovir-protein-9238","NP_001121187.1"
"crovir-transcript-9217","crovir-protein-9217","NP_006647.3"
"crovir-transcript-9240","crovir-protein-9240","XP_016866087.1"
"crovir-transcript-9253","crovir-protein-9253","NP_005706.1"
"crovir-transcript-9248","crovir-protein-9248","NP_001278963.1"
"crovir-transcript-9250","crovir-protein-9250","NP_001278963.1"
"crovir-transcript-9251","crovir-protein-9251","NP_624311.1"
"crovir-transcript-9249","crovir-protein-9249","NP_620140.1"
"crovir-transcript-9269","crovir-protein-9269","NP_008975.1"
"crovir-transcript-9271","crovir-protein-9271","XP_016866963.1"
"crovir-transcript-9272","crovir-protein-9272","NP_942590.1"
"crovir-transcript-9268","crovir-protein-9268","NP_001238978.1"
"crovir-transcript-9270","crovir-protein-9270","NP_116221.3"
"crovir-transcript-9266","crovir-protein-9266",NA
"crovir-transcript-9267","crovir-protein-9267","XP_006715541.1"
"crovir-transcript-9276","crovir-protein-9276","NP_001316727.1"
"crovir-transcript-9275","crovir-protein-9275","XP_005266964.1"
"crovir-transcript-9281","crovir-protein-9281","NP_005091.2"
"crovir-transcript-9282","crovir-protein-9282","NP_065912.1"
"crovir-transcript-9279","crovir-protein-9279","NP_078849.1"
"crovir-transcript-9280","crovir-protein-9280","XP_011534449.1"
"crovir-transcript-9341","crovir-protein-9341","XP_006715470.1"
"crovir-transcript-9340","crovir-protein-9340","XP_006715470.1"
"crovir-transcript-9338","crovir-protein-9338","NP_079383.2"
"crovir-transcript-9265","crovir-protein-9265","NP_036309.1"
"crovir-transcript-9264","crovir-protein-9264","NP_036551.3"
"crovir-transcript-9274","crovir-protein-9274","NP_001124171.1"
"crovir-transcript-9278","crovir-protein-9278","NP_775786.2"
"crovir-transcript-9277","crovir-protein-9277","NP_001273117.1"
"crovir-transcript-9283","crovir-protein-9283","NP_036586.2"
"crovir-transcript-9284","crovir-protein-9284","NP_057104.2"
"crovir-transcript-9254","crovir-protein-9254","XP_011534286.2"
"crovir-transcript-9299","crovir-protein-9299","XP_011534286.2"
"crovir-transcript-9302","crovir-protein-9302","NP_001280214.1"
"crovir-transcript-9301","crovir-protein-9301","NP_060922.2"
"crovir-transcript-9305","crovir-protein-9305","XP_016866796.1"
"crovir-transcript-9303","crovir-protein-9303","NP_057308.1"
"crovir-transcript-9304","crovir-protein-9304","NP_003889.1"
"crovir-transcript-9307","crovir-protein-9307","NP_116250.3"
"crovir-transcript-9306","crovir-protein-9306","XP_016866351.1"
"crovir-transcript-9312","crovir-protein-9312","XP_011534248.1"
"crovir-transcript-9313","crovir-protein-9313","XP_011534301.1"
"crovir-transcript-9318","crovir-protein-9318","NP_006510.1"
"crovir-transcript-9314","crovir-protein-9314","NP_001229313.1"
"crovir-transcript-9315","crovir-protein-9315","NP_001104547.1"
"crovir-transcript-9317","crovir-protein-9317","NP_473455.2"
"crovir-transcript-9292","crovir-protein-9292","NP_115921.2"
"crovir-transcript-9295","crovir-protein-9295","NP_000627.2"
"crovir-transcript-9297","crovir-protein-9297","XP_016867003.1"
"crovir-transcript-9298","crovir-protein-9298","XP_016867003.1"
"crovir-transcript-9293","crovir-protein-9293","NP_001290182.1"
"crovir-transcript-9296","crovir-protein-9296","NP_110379.2"
"crovir-transcript-9331","crovir-protein-9331","NP_054880.2"
"crovir-transcript-9330","crovir-protein-9330","NP_000867.2"
"crovir-transcript-9333","crovir-protein-9333","NP_068812.1"
"crovir-transcript-9335","crovir-protein-9335","NP_000292.1"
"crovir-transcript-9287","crovir-protein-9287","NP_005913.2"
"crovir-transcript-9288","crovir-protein-9288","NP_005913.2"
"crovir-transcript-9289","crovir-protein-9289","NP_064518.1"
"crovir-transcript-9290","crovir-protein-9290","XP_016866397.1"
"crovir-transcript-9308","crovir-protein-9308","XP_024307452.1"
"crovir-transcript-9286","crovir-protein-9286","XP_016866397.1"
"crovir-transcript-9291","crovir-protein-9291","XP_016865764.1"
"crovir-transcript-9319","crovir-protein-9319","NP_006766.1"
"crovir-transcript-9321","crovir-protein-9321",NA
"crovir-transcript-9326","crovir-protein-9326","NP_660152.1"
"crovir-transcript-9325","crovir-protein-9325","XP_006715612.1"
"crovir-transcript-9328","crovir-protein-9328","XP_006715612.1"
"crovir-transcript-9327","crovir-protein-9327","NP_003721.2"
"crovir-transcript-9344","crovir-protein-9344","NP_008976.1"
"crovir-transcript-9342","crovir-protein-9342","NP_061063.2"
"crovir-transcript-9343","crovir-protein-9343","NP_060921.3"
"crovir-transcript-9346","crovir-protein-9346","NP_061847.2"
"crovir-transcript-9357","crovir-protein-9357","XP_016866367.1"
"crovir-transcript-9358","crovir-protein-9358","NP_085118.2"
"crovir-transcript-9360","crovir-protein-9360","NP_001253975.1"
"crovir-transcript-9355","crovir-protein-9355","NP_999627.2"
"crovir-transcript-9353","crovir-protein-9353","NP_001027549.1"
"crovir-transcript-9356","crovir-protein-9356","NP_057119.2"
"crovir-transcript-9347","crovir-protein-9347","XP_011534367.1"
"crovir-transcript-9348","crovir-protein-9348","NP_003238.2"
"crovir-transcript-9352","crovir-protein-9352","NP_872358.4"
"crovir-transcript-9351","crovir-protein-9351","NP_060758.2"
"crovir-transcript-9350","crovir-protein-9350","NP_777570.1"
"crovir-transcript-9349","crovir-protein-9349","NP_060811.1"
"crovir-transcript-9365","crovir-protein-9365","NP_005609.3"
"crovir-transcript-9362","crovir-protein-9362","NP_001273309.1"
"crovir-transcript-9364","crovir-protein-9364","NP_002784.1"
"crovir-transcript-9361","crovir-protein-9361","NP_003185.1"
"crovir-transcript-9363","crovir-protein-9363","NP_002589.2"
"crovir-transcript-9405","crovir-protein-9405","NP_055051.1"
"crovir-transcript-9398","crovir-protein-9398","NP_689592.2"
"crovir-transcript-9402","crovir-protein-9402","XP_016856812.1"
"crovir-transcript-9400","crovir-protein-9400","NP_940954.1"
"crovir-transcript-9401","crovir-protein-9401","XP_024304970.1"
"crovir-transcript-9399","crovir-protein-9399","NP_078801.3"
"crovir-transcript-9396","crovir-protein-9396","NP_116189.1"
"crovir-transcript-9403","crovir-protein-9403","NP_031383.1"
"crovir-transcript-9368","crovir-protein-9368","NP_001245240.1"
"crovir-transcript-9369","crovir-protein-9369","XP_016856452.1"
"crovir-transcript-9388","crovir-protein-9388","NP_001300950.1"
"crovir-transcript-9383","crovir-protein-9383","NP_055224.1"
"crovir-transcript-9382","crovir-protein-9382","NP_036221.2"
"crovir-transcript-9386","crovir-protein-9386","NP_060700.2"
"crovir-transcript-9385","crovir-protein-9385","NP_060700.2"
"crovir-transcript-9384","crovir-protein-9384","NP_001091.1"
"crovir-transcript-9381","crovir-protein-9381","NP_660300.3"
"crovir-transcript-9387","crovir-protein-9387","NP_004569.2"
"crovir-transcript-9377","crovir-protein-9377","NP_067028.1"
"crovir-transcript-9375","crovir-protein-9375","NP_787072.2"
"crovir-transcript-9373","crovir-protein-9373","NP_114407.3"
"crovir-transcript-9376","crovir-protein-9376","NP_071334.1"
"crovir-transcript-9372","crovir-protein-9372","NP_005990.1"
"crovir-transcript-9374","crovir-protein-9374","NP_001158009.1"
"crovir-transcript-9367","crovir-protein-9367","NP_001158009.1"
"crovir-transcript-9366","crovir-protein-9366","NP_065859.3"
"crovir-transcript-9379","crovir-protein-9379","NP_065859.3"
"crovir-transcript-9378","crovir-protein-9378","NP_115700.1"
"crovir-transcript-9380","crovir-protein-9380","NP_055616.3"
"crovir-transcript-9370","crovir-protein-9370","NP_115811.2"
"crovir-transcript-9371","crovir-protein-9371","NP_002236.1"
"crovir-transcript-9391","crovir-protein-9391","NP_001193570.2"
"crovir-transcript-9393","crovir-protein-9393","NP_005637.3"
"crovir-transcript-9392","crovir-protein-9392","NP_892017.2"
"crovir-transcript-9408","crovir-protein-9408","NP_055580.1"
"crovir-transcript-9409","crovir-protein-9409","NP_001193723.1"
"crovir-transcript-9406","crovir-protein-9406","NP_001032354.1"
"crovir-transcript-9407","crovir-protein-9407","NP_001274730.1"
"crovir-transcript-9434","crovir-protein-9434","XP_006711812.1"
"crovir-transcript-9432","crovir-protein-9432","NP_001092191.1"
"crovir-transcript-9431","crovir-protein-9431","XP_011542333.1"
"crovir-transcript-9430","crovir-protein-9430","NP_002499.2"
"crovir-transcript-9429","crovir-protein-9429","NP_003263.1"
"crovir-transcript-9433","crovir-protein-9433","NP_063944.3"
"crovir-transcript-9428","crovir-protein-9428","NP_665860.2"
"crovir-transcript-9427","crovir-protein-9427","NP_006490.3"
"crovir-transcript-9424","crovir-protein-9424","NP_060542.4"
"crovir-transcript-9422","crovir-protein-9422","XP_011542496.1"
"crovir-transcript-9451","crovir-protein-9451",NA
"crovir-transcript-9410","crovir-protein-9410","NP_001292353.1"
"crovir-transcript-9411","crovir-protein-9411","XP_005273283.1"
"crovir-transcript-9395","crovir-protein-9395","XP_005273275.1"
"crovir-transcript-9394","crovir-protein-9394","NP_055137.2"
"crovir-transcript-9417","crovir-protein-9417","NP_006018.4"
"crovir-transcript-9438","crovir-protein-9438","XP_006711906.1"
"crovir-transcript-9437","crovir-protein-9437","NP_001337177.1"
"crovir-transcript-9425","crovir-protein-9425","NP_991331.1"
"crovir-transcript-9426","crovir-protein-9426","NP_001117.2"
"crovir-transcript-9460","crovir-protein-9460","NP_001304863.1"
"crovir-transcript-9456","crovir-protein-9456","XP_011542440.1"
"crovir-transcript-9455","crovir-protein-9455","XP_011542505.1"
"crovir-transcript-9459","crovir-protein-9459","XP_016870900.1"
"crovir-transcript-9452","crovir-protein-9452","NP_001299801.1"
"crovir-transcript-9458","crovir-protein-9458","NP_114032.2"
"crovir-transcript-9454","crovir-protein-9454","XP_011542602.1"
"crovir-transcript-9457","crovir-protein-9457","NP_006820.1"
"crovir-transcript-9453","crovir-protein-9453","NP_937872.1"
"crovir-transcript-9413","crovir-protein-9413","NP_001161212.1"
"crovir-transcript-9412","crovir-protein-9412","NP_071761.1"
"crovir-transcript-9462","crovir-protein-9462","NP_689822.2"
"crovir-transcript-9463","crovir-protein-9463","NP_057086.2"
"crovir-transcript-9466","crovir-protein-9466","XP_006711821.1"
"crovir-transcript-9464","crovir-protein-9464","NP_001161414.1"
"crovir-transcript-9468","crovir-protein-9468","NP_001288762.1"
"crovir-transcript-9465","crovir-protein-9465","XP_006712181.1"
"crovir-transcript-9442","crovir-protein-9442","NP_055761.2"
"crovir-transcript-9444","crovir-protein-9444","NP_001180442.1"
"crovir-transcript-9447","crovir-protein-9447","NP_036545.1"
"crovir-transcript-9443","crovir-protein-9443","NP_005804.1"
"crovir-transcript-9448","crovir-protein-9448","NP_653337.1"
"crovir-transcript-9446","crovir-protein-9446","NP_005751.2"
"crovir-transcript-9449","crovir-protein-9449","NP_001309302.1"
"crovir-transcript-9445","crovir-protein-9445","NP_001027549.1"
"crovir-transcript-9441","crovir-protein-9441","NP_001185585.1"
"crovir-transcript-9485","crovir-protein-9485","XP_011531200.1"
"crovir-transcript-9481","crovir-protein-9481","XP_011531200.1"
"crovir-transcript-9484","crovir-protein-9484","NP_001036013.1"
"crovir-transcript-9492","crovir-protein-9492","XP_011531375.1"
"crovir-transcript-9490","crovir-protein-9490","NP_061897.1"
"crovir-transcript-9488","crovir-protein-9488","NP_777591.3"
"crovir-transcript-9491","crovir-protein-9491","NP_001129123.1"
"crovir-transcript-9493","crovir-protein-9493","NP_001027549.1"
"crovir-transcript-9494","crovir-protein-9494","NP_001124506.1"
"crovir-transcript-9489","crovir-protein-9489","NP_689880.1"
"crovir-transcript-9487","crovir-protein-9487","NP_000095.2"
"crovir-transcript-9495","crovir-protein-9495","XP_011530915.1"
"crovir-transcript-9436","crovir-protein-9436","NP_001186067.1"
"crovir-transcript-9435","crovir-protein-9435","NP_115688.1"
"crovir-transcript-9500","crovir-protein-9500","XP_005264506.2"
"crovir-transcript-9499","crovir-protein-9499","NP_060205.3"
"crovir-transcript-9501","crovir-protein-9501","NP_060205.3"
"crovir-transcript-9502","crovir-protein-9502","XP_011531155.1"
